text,sentiment
_marie Stick with me kidd...you`ll be alright (there`s a whole sketchy world out there waiting to be taken advantage of,positive
watching my baby on snl !  baby you look greaaaaat ;),positive
" ohh yeh , but he was on sexy men so its okay",neutral
what?! i just missed home + away! nooooooooo,negative
Watching aliens with my boobie at craig rise house 11 early bedtime for the grown ups,neutral
"_World LOL! poor cubbies! brewers on a roll?? my rangers lost, but my Leafs won!",neutral
"browsing thru adopting agencies, i`m gonna get some exotic kids",neutral
 Up is out?  I didn`t get the memo   It looks amazing.,positive
 lol i like challenges  the more impossible the more i want to try!,positive
Was woken up by my screamin lil nefuew,negative
My children have promised me birthday brekkie in bed. There`s a problem with that in that there`s bugger all food in the house,negative
Suddenly need a subscription?  After I had paid for a full version?  And some of my calendars no longer work with the app??  Not impressed.,negative
"Last Heroes ep until Sept  Sick & drugged for past 3 days. Dr says lacking in everything, esp -get this- SUNSHINE.",negative
umm...why will it not let me change my background?! im twitter-challenged.,negative
 aw its okay tht happened wid me too..am so glad thts OVER now!am not helpin here am i?!?lol thnx for postin WMIAD  loved it,positive
 lol takes some getting use to  Just replying to your email. Power keeps cutting out here :S,neutral
 Thanks  your my first lol,neutral
I still have a very depressed feline fuzzball...it`s another trip to vet tmrw to see what can be done...worried doesn`t even cover it,negative
 POOOOOOOOR SHEEEEP!!!,negative
"  Get Up, You are NOT old!  What did you do?! =O",neutral
This class is really long and I`m really getting hungry,negative
I wish I lived closer to the girls.  I`m tryna chill on a Friday night!    ( next weekeeend! Drink all day AND night?!),positive
alrightttt twitter. i have netball nowww  this is my 600th twitter haha  byeeeee,neutral
 you can vote once per day per computer,neutral
Zero integration with any calendar so literally worthless!!,negative
 I`ll be thinking about how many goals United are going to knock past City. How `bout you?,neutral
Love this app. It makes viewing all my Google calendars in one apot easy! My only issue is entering locations because I live in a rural area and it recommends places in large cities all the time.,positive
It`s Friday and I don`t have a job for the weekend,neutral
"Basic version works as described; just not what I need. The habits I want to improve require reminders at different times of day. And I'm personally not finding it an effective incentive, especially 'starting over' if missing one time. That's kind of a carrot AND stick approach. I'll stick to a simple checklist of what, & calendar/alarm clock to remind me when. Making this app's functions kind of ...basic and redundant? And since all apps use space... well, uninstalled. But the app works fine.",positive
Just had mothers day lunch here  http://twitpic.com/4wfeo,neutral
 I saw the game not a huge cavs fan lol. they pay refs. But Yao`s out 4 the rest of playoffs so L.a is cruising to the WCF,neutral
How to set the widget on my home screen?,positive
"ABSOLUTELY DO NOT UPGRADE TO PREMIUM. It does not work. It does not sync. The developer does not respond. Google Play will not give a refund. The frees app is flexible. You can track yes/no and count per day habits. The count per day can be any criterion you want, minutes, calories, quantity.",negative
Rosie to the vet. Routine shots and bordatella.,neutral
I just got my leavers do dress!!!!,neutral
**** being broke on the day Guitar Hero Metallica comes out!  Boooooooo,negative
 i did and i feel great....   but i still miss it...,negative
_eyedea I love last.fm but find it a lot easier (and more content) on spotify  add me on http://last.fm/user/an0key if you like,positive
  Hope you get to spend the weekend at home.,positive
Got really sick today  text me later. Nap time,negative
Notifications are not persistent enough. I'd love to have the option of using my phones built in alarm to remind me of tasks. Please consider this functionality!,neutral
uploading a lot of photos... priceless memories,positive
 i wish there was an 'i like' option (like fb) for things like this,positive
" Eat it, it`s good for you",positive
"I hate different referenced assemblies. My FNH goes against castle 1.1, Caliburn against 1.03 .. not to mention dynamicproxy in NH",negative
" Yeah, but George says something with his words. Otherwise its just..... jiberish junk... love, joy,happy ahh see how nice",positive
"wanna b marie antoinette, cos she had perfect hairdo, fab clothes, n tons of macarons.  Crappy day",negative
Kpai,positive
  true. i think its important 2 be sensitive 2 it when we relate 2 others. empathy. a reminder we cant judge a book by a cover,positive
waiting to go to the movies later for my 6th month. booored.,negative
 you should say mlia instead of fml  i hope you find it soon,positive
.  Will have to try.  Our Pei Wei closed so I can`t try there.,neutral
"Don`t worry, I won`t  I`ll send it to you as soon as I land in Delhi. I`ll let you know about the price in a little while.",positive
"GoodMorning, Hope Everyone Has A Beautiful Day Today  x",positive
time to hit the study notes! prep for friday`s exam!,neutral
HAPPY JUDDDAY,positive
"Well thats me for the day, watching Panthers tonight beat the Saints (fingers crossed) cause there are no QLD teams playing this round",neutral
"meh, almost didn`t sleep, ain`t finished anything, I`m close to cancel the Dokomi",negative
 i couldnt respond cuz i maxed out,negative
Omg going to die of swine flu when I go to Melbourne,negative
 That just doesn`t sound appetizing.,negative
"The app is good; however, the ""funny notifications"" are ridiculous and not 
funny at all. Sync does not work.",neutral
These messages are teasing me! It isnt fair.,negative
"yeah, this is not user-friendly. there should be some kind of tutorial, this is not the kind of app you can just jump in and start using, which is what I was hoping for.",negative
_Cullen8 i hate the rain *laughs*. thanks *smiles* i miss her loads i couldnt stop crying before,neutral
So not looking forward to hurricane season. 3 days until...,negative
This poor butterfly was dead  http://twitpic.com/66vlw,negative
"Watching NHL playoff Game1 tomorrow night if anyone is interested, and I know that none of you are.",negative
 whatsoever do you mean by `how I get down` lol I`m always sober,positive
"i like how, no matter how much fun i`m having, i need a hug, a bowl of ramen, and a comfy blanket as soon as i get home.",positive
 sorry about that,negative
 You`re cycling tho` that`s good. Healthy eating  Healthy and eating are a contradiction in terms.,positive
Couldn't figure out how to set reminder times won't do anything other then am,negative
Very useful! Reminders at specific times which stay on the screen really help me get stuff done. Would like to be able to create own catagories and choose colours and icons for these in the premium version Thank you!,positive
"hmm, do not feel like writing monthly reports tonight!  probably should get started though...",neutral
"5 habits for free version is not enough. Instead of limiting habits for free version, disable notifications or cloud storage or inter device sync, theme, calendar support and these similar abilities for free version.",neutral
That's right. Nice addon but haven't really seen its power yet as I still don't have those colorful sectors show on the app,neutral
"tired and bored, watching movies while i`m home alone",negative
Kinda meant mother. Im giving props to  for taking us,neutral
 LOL #yourock,positive
_ that`s why twitter rocks!,neutral
Need at least few more levels of subtasks and lists for it to be perfect. Otherwise everything is good. Love it.,positive
"Woo! Two days till awesome gig, one day till Uni is finished for 12 days  #gigs #3yp",positive
Has finally taken a shower after much distraction from twitter and the bubble wrap off to read  and drink a smoothie,neutral
I didn`t get the job at Berry Line after all.,neutral
Im downloading manually the oooiifull.mp4 movie by  as it seems the only way to see it fully,neutral
"I just managed to stab a piece of bhuja (hot, of course) into the roof of my mouth. Blood everywhere - well, at least in my mouth.",neutral
"cold,so cold ****!",negative
 glad to hear it`s good bank holiday weather down there to,positive
Did not work,negative
Legs are hurting because I was standing up all day.,negative
ItS fRiDaY... I cAn`T wAiT tO bE dOnE wItH wOrK!!! Stuck here till 11,negative
"im just dreamin out loud, i cant have you for mine and i know it",neutral
 have a great camp!!!!! Wish I could be there.,positive
Has research guilt as I spent the day feeling sorry for myself with a cold.... will need to spend significant time coding this weekend,negative
" Heavens, not good  I can empathise. Fingers crossed it doesn`t come to anything and you can sleep easy. Wishing for the best...",positive
Came back to this after not using it for a while Tonnes of updates has made it rubbish,negative
Very productive,negative
 sweet .. Englands becoming lamer and lamer since you guys left,neutral
"It would be a great app if it had an option to use it without syncing it to your calendar like TimeTune. I don't want all my tasks to show up on my calendar, and their solution wasn't working.",negative
Try,neutral
" cafe, sky dining plangi  http://plurk.com/p/sw17j",neutral
**** i have something to say and no one is listening,negative
 Its over for them,neutral
 ooo and good luck for dundee tonight i can`t be there cos i have a ton of uni work,positive
Taco Bell With The Tramp!Yesssssir,positive
Not feeling too good,negative
... A kidney stone. Really?? Ugh  http://tinyurl.com/qsw9vq,negative
"Can't add new Tasks to Top of list?? Clearly no one in Microsoft actually use To Do. If you did, you'd know that this is an extremely important and basic feature. Otherwise you add a task and it disappear to the end. I don't believe one can efficiently use a to do list without this feature.",negative
"Good Morning, Twitter community! I just got finished eating a delicious stack of pancakes courtesy of my Mom and Bisquick.",positive
 say hello to Marina Green ... couldn`t participate in Barcelona this weeken,negative
 thanks Janis,positive
I wanna say happy mother`s day to all the mom`s including mine love u mama,positive
"This app is so robust, I love it! However, I would love a quick add button in the notifications.",positive
and young ones....'look what I found'....'breakfast'....,neutral
"Yeah, it was a silly mistake. At the end of a long day, etc etc. They were brand new pliers too",negative
 last reply  a scholar in US Homeland Security said an ontology was created for it 'and everybody hated it[s prescription].',negative
is excited. Lots of good things happening work-wise here in Melbourne,positive
_ebru thank you for the link...very cool...see you on monday!!!,positive
ads!!!!,negative
" LOL, very true. I`ve been keeping an eye out for that - they arent very tech savvy so I`ve been alright thus far",neutral
_assassin  sucks about your cat... hope you guys feel better,neutral
" Hey Hey!! I got this custom designed, one of a kind Superfresh T over here with somebodies name on it collecting dust",neutral
time to bed now!!,neutral
At the bus stop there`s always a big pile of loogies. So. Gross.,positive
 Thanks too,positive
likes patricia`s dress,positive
 Tataindicom is not as good as Tatasky  Airtel broadband is better.,positive
off to bed with my sore ****,neutral
just got home from dinner and am really really full. my mom said my dad bought me a sony a200k? holyyyyyyy,positive
 haha we had balcony seats  not that great. there`s a giant dragon thing that has glowing red eyes and moves its wings!,negative
 yea I was about to call you shallow but you saved yourself by saying he makes good music,positive
Made a seamless connection to Toro Toro Quebec Two.,neutral
Finally home  Gonna hit the hay n sleep till noon lol,positive
 GILF = grandmother.,neutral
not satisfy,neutral
 I hope your mom is ok?,positive
" i`ve sent a twitter invite to poet friends, i`m hoping they will come poetize, would love 2 see more poets here  #poets",positive
 LOL that`ll teach me to blindly trust amazon search results without reading!,neutral
i got no notification,negative
On her way home from prom  so fun!,positive
" ok cause the one  S orange is still open. Whew, you just scared me. Sorry the one by you closed",negative
 I **** miss that band so so much,negative
Wedding..,neutral
 Meeeee! It sounds delicious,positive
"I got a text from this guy who I don`t like, and who has the same name as the guy I do! How disapointing!",negative
At the dentist. I have a hole in my tooth,negative
Waiting for the dang pizza to cook. It`s almost 9 and we still have not eaten wifey fail. Did I mention I feel like ****,negative
 no sorry twitter sucks balls since the replys change  #fixreplies,negative
  They follow my,neutral
Just started using it....the interface is easy to learn and the amount of detail is just robust enough to be appropriate for what I do.,positive
 My husband is loosing his GOVERMENT job due to downsizing-he is looking for a new job but can`t find one in our small town,negative
"What a great app! I love that I can create sub tasks. I also love that I can move the finished tasks to specific tabs. It makes it easy for me to tell which of my orders have been paid, which have been completed and which have been sent.",positive
@_TWEE haha thanks to you that`s my new word for the week! ****,positive
rock week  i don`t think danny`s gonna go home this week  he`s never been in the bottom three.. and he`s a really good singer,positive
Turned my alarm off this morning because I thought it was Saturday. Had to rush to get ready for work because its def not Saturday   #FAIL,negative
 Oh no!!  Hope you get better for your show in Argentina! Good luck!,positive
" Getting back online, now. Just shifting locations!",neutral
 I tried to DM you but your not following me,negative
Yukky  Rainy Friday,negative
 when u gonna come show minnesota some love though hun?!,positive
i wish i was at the beach already,positive
"grr!  i hate being **** near forced to go places.  especially to sit on a bus for an entire day just to sit in a house in podunktown, va",negative
"It sorely needs and UNDO (& backup/restore/revert) feature in case we accidentally touch/swipe a circle/bullet which then gets unintentionally deleted immediately (which I find incredibly frustrating). (It also needs a flexible feature to import & export other common text/data formats like CSV, XML, events to & from calendar… not just copy reminders to tasks) If Google fixes all that then I'd give it 5-stars!",negative
" Thank you  How`s your daughter? And by the way, how did you get 1017 followers? :O",positive
 are u planning on doing cardio for 1.5 hrs? If so that`s very reasonable  whatcha do last night?,positive
" Thanks Heather, glad you like the dish",positive
Anybody else think that #win7 is pretty much Vista SP2?,neutral
  My sister and I are suppose to be meeting you today in Birmingham.    Please reschedule!!!,neutral
Love everything about this app ! ♥️,positive
 ah  Hate it when that happens! The Race to Erase MS is this week. Are you going?,negative
work work work!,neutral
 congrats! You`re the first person i`ve heard/read say that today,positive
Just found out - http://tinyurl.com/qlrcec - the **** frenchies have set a precedent,neutral
"_tweets I wish I could be there to give you the biggest hug right now. I`m so sorry, I can`t imagine how painful it must be",neutral
 why weren`t we invited?,neutral
 goodmorning,positive
 lol to see my king,neutral
Work time....,neutral
 does that mean your going to block me?,neutral
how r u feeling? and when r u guys coming back to canad?... come to vancouver!,neutral
" lol girl I cannot stop!!! I am a student, I can`t afford $14 a pop eyeshadows. But I am so hooked",neutral
"Pesters me to rate it, immediately one star.",negative
Yeahhhhhhhhhhhhh friday..and I work tomorrow,neutral
" No, it`s not",neutral
 KILL IT JASMINE! Haven`t talked to you for ages.,negative
"_DJ Xmas a week early? Hehe, at least you didn`t have to do any last min shopping",neutral
Search Ryan Carera & Josh Kelley  They`re really good,positive
  I`m not a big fan of Costa  I ended up going to EAT as they have one outside our office!,negative
 good morning!,positive
I want a lie in tomorrow! Won`t be getting one though,neutral
I think I might have to break down and purchase some from the US just because I donot know what to call it over here,neutral
It`s freakin` hot and humid today.,negative
"I swear, now my dog is having anxiety issues.",negative
" no I won`t honey I got mad yrs to go , why am I crazy?",negative
 I like them. I mean I like what`s left of them.,positive
" aw, that`s cute",positive
I want some cookies.,neutral
useless! you need a premium account to use Widgets,negative
i feel sick after that oreo and cheesecake milkskake  lol,negative
i get a message that my account is suspended as far as i know i haven`t violated any terms contacting twitter now..,negative
About to have dinner and then an evening of playing cards. Already packed and ready to head home tomorrow   Do we have to go home?,neutral
I learned the Hoedown Throwdown!,neutral
"While the concept is good, the app doesn't work. In my case the app doesn't detect if I open other apps so my tree keeps growing even if I open other apps. Also I noticed that I would reach for my phone more after installing the app. It may work for others but not for me.",negative
_1993 Nope not yet  Within 10 working days from Thursday. It should be in before 2 weeks Wednesday. It`ll be in before that! I hope,positive
for the gays i only made 200 tonight,neutral
GRANADA BOWL WITH THE CREW! Birthday bowling for Fisch and me  http://twitpic.com/4wn29,neutral
" hahahaha nice. i gave up on bio cos idk what the hell i`m doing, so hello chem",negative
"I really liked this app, however I have downloaded it yesterday and created tasks which repeats daily but it always shows tasks date 30 March. It was just the date I created it, it repeats daily so the dates should change too. It feels as if I am checking undone tasks from the past. Even in the calander view these tasks are not added to 31 March. It's annoying me. Please do something about it.",positive
Great app. I suggest having more reminder options,positive
 yay!,positive
"Waiting for an email that will probably never arrive. ED later, Consti study after then hopeless bumming.",negative
 hahaha. do it  you`ll have a blast.,positive
 loved you in head over heels! One of my fave movies! you looked stunning last night,positive
"just got a haircut, NOT happy!",negative
Cant find my red lighter that reminds me of Amy,neutral
I don`t think I am going to get to see any of the sun today  gutted I NEED COLOUR!,negative
 bullet train from tokyo    the gf and i have been visiting japan since thursday  vacation/sightseeing    gaijin godzilla,neutral
" Another day and I couldn`t find you.    I ended up trying another cart, can`t remember their name.  `sigh`",neutral
at work booo....,negative
" ****, so many good deals...you guys have a conspiracy to steal all my money",positive
 actually I think Doogie Howser got the idea from the Captain`s Log.,neutral
 oh man! They better do something to fix that!! ugh stupid Verizon,negative
 Hey guys! can i ask; what item did u guys put up for ur talent show? i am such a BIG fans of both of you! whoo!,positive
 romance zero is funny,positive
"hopping in the shower,   you can help me tidy my room  its a **** hole, mums **** friends",negative
" Did we hear our name ? Thanks Ankit, get them on to our parlour   #HokeyPokeyBandra",positive
Recogns he could get his assignments out of the way by June  bring it on,neutral
Listening to Miley Cyrus Breakout CD ! love it!,positive
i`m so mad that im going to be missing the maine tomorrow because it takes all effing day to fly to florida,negative
" If you think Florida`s heat will be too much, I will reluctantly take your place",negative
yay it`s friday... hold on I have to work tomorrow,positive
There is a MacBook Pro sitting close by and my poor MacBook is ashamed with it`s plastic face and sides...,negative
Does anyone out there want to be REALLY awesome and buy me one of these for my birthday? http://poprl.com/1vN0,neutral
did crossfit running today...agitated my right leg,negative
bye LA... I already miss you,negative
_craig Tried to follow one of your #FF recommendations but 'have been blocked from following by request of the user',negative
  I`m bummed to miss you.   Hope you enjoy your writing conf. tho!,negative
Home from school. Out tonight? Probably not,neutral
" I know, right?!? I have such a lead foot",positive
had a great time at six flags yesterday.. its summer   my friend spent the night last night and just left so now i`m bored..,neutral
Im on my way to brookings,neutral
 I`m just bustin` ya chops; it`s not bad. Never seen any real appeal to last.fm is all. Bad quality audio from **** artists,neutral
 they don`t use MSN either I don`t think  and they are thousands of miles away so can`t do it face to face,negative
My picture won`t update.,neutral
"Spam, malware. Adds scamming events to your calendar. UPD: No, it came from your app. I never had this problem, for 5+ years, but after installing THIS application I do.",negative
 hey girl i just sent ya a message on Myspace,neutral
Is sad that her brother is having a bad day,negative
exams. thennn some sexy time.,neutral
"is planning her week, its going to good, going to get a lot of stuff done",positive
"come on, leave Gretel alone now  I liked her doing the #Logies",positive
When will Medhurst play again?,neutral
Good until it started wanting money for doing its job,negative
"Good concept but simply doesn't work, I can still use every single app without any intrusion, the tree doesn't even die when I close the app and restart it, totally broken",negative
"I tried the free version. I liked the way, that you are writing the day to remind you and it set itself, but the free version doesn't support calendar and for me this is a big minus. I prefer to use Google task app, that signs up with calendar and reminds you for the task.",negative
so far the app is great. would get 5 stars if it had a tabbing feature where you can side over to each task name instead of having to go to the menu button to switch.,negative
Happy Star Wars day! May the 4th be with you!,positive
wants to go to walmart. but won`t go alone,neutral
"RE: So, finally finished catching up with your blog - no mention of any wedding details...  Do tell, at some point.  http://disq.us/11w",neutral
"Oh, I forgot. They weighed me at the Dr. I am at my highest weight ever.",negative
 Don`t be mad at me.  Please? ::puppy dog eyes::,negative
"Only used for a day but it's the best app I've found for daily tasks / to do lists. Would love to see the following: 1. Completed tasks move to the bottom 2. Tasks be linked to a numerical value. 3. The ability to order each item manually, daily.",positive
  they are a long way from the sea  unless they came from Gloucester docks.,neutral
 i wish i was there! but i live in holland ): but i`m going to see you in paris,neutral
It works well when I install but not able to double coins,negative
 and how are you going to make it up to me,neutral
Great apk,positive
ugh! nothing to do in the valley  Seriously gotta move out of here!!!,negative
  Hope you don`t get let down again.,positive
"Looks cool and I like the stats. I would like to have a monthly and yearly calendar display on which dates with non-repeating tasks scheduled are bold or otherwise highlighted, or preferably have the tasks listed in small font in the box for that day in monthly view. And when you click on the date have all tasks for that day display. Why do none of the life rpg apps I've tried not have calendars? It's bothersome to add something to a calendar and then open up another app and add it in again.",positive
 I have no Minstrels   I might have to grab some from the petrol station before I head back to work.  They are delicious!,positive
NO! Our TV`s busted  The screen turned white for about a nanosecond while it made a quick 'popping' sound.,negative
Whew! I literally shopped till I dropped....and sprained my ankle.  Ugh...do you see the sacrifices I make for you??,negative
 Agreed...this time of the year we should change the motto to 'The Soggy State'...my backyard looks like a swimming pool,neutral
Why are money problems so bad these days,negative
OUCH! my earphones just shocked me,negative
so Roman is now on pain killers and some LQ meds. Thanks Jess for agreeing to go get him yogurt before you go out!,neutral
I`m either always on the train or at work,neutral
Good make me full organized life,positive
"ahahah with sandy, bekz, erin and derrian",neutral
" No, rather we`re OMG it`s nearly Monday",neutral
Sometimes I wish I had my own Prototype mentor.,neutral
Best Reminder app!,positive
Movie and popcorn time,neutral
I`m so getting the cold,neutral
Love this app Can guys add this features please 1. Task priority tag (red for important) 2. More notifications options ( sometimes a single clicking sound is not enough wish you add alarm settings) Thanks,positive
"This app would get 5 stars as it is great for capturing and managing tasks. However due to major flaw it gets 1 star. I have accidentally deleted long detailed lists when trying to delete a task, and there is no deleted item recovery feature which means I have lost work. The notification feature does not clearly differentiate between TASK LIST and TASK allows this to happen. If fixed, this would be a fantastic app, but these flaws means using this app results in rework and frustration for now.",negative
Life can get soo Dull sometimes what do you do when u have no 1 around  x,negative
"Love this app. Been using it for a few years. I have my personal, business, and family calendars all in one view. The widget is great for quickly viewing my agenda.",positive
WHY DO notes dissapear? I pun something today and tomorrow it doesn't show up at all!!!!!!!!!!!!!!! To Answer:1)Yes 2)local 3) i go in the App-Month View-click on day box-write details+hour/all day.save.Then it shows up in the app and widget for a few hours and then it's gone .4) i have a stable internet connection . What should i do?,negative
Hear  full album preview during todays webcast!  #jonasnewsongs NO WAYYY I couldn`t `tune in`,negative
"I`m home, Yay! Unpacked everything, now just got to wash it all",positive
listening to David Archuleta album it`s amazing,positive
" Hey, that`s my Bug! And my martini glasses . . .",neutral
"It was really good for helping me to get motivated for a few days, but when I shut my phone off the notifications stop coming until I open the app again, and check off something.",neutral
_Moe well it is #stalkersaturday after all,neutral
"_fred6 It`s REALLY cool! No, I`m on a PC now, I don`t have a Mac  well I do but it`s ooooooooold  I do have an iphone tho",positive
" Ugh, looks like you`ll have some work to do . Good luck",positive
"  I`ve run out of earl grey, so having lemon tea instead, then whb for me too",negative
So hyped about E3. I wish I could go...,positive
"Wanna know a not fun way to wake up? Having a panic attack and not being able to breath for no **** reason, that **** sucked",negative
Didn't like navigation menu location update,negative
Been using it for years and there have been tons of improvements! Great app. Just wish you could choose for notifications to come from top of screen instead of the bottom because many times a reminder pops up while I'm typing and I'll mistakenly dismiss it.,positive
Exams are so stressful,negative
im well bored  had a great half term and i dont wanna go back to school on monday :`( enjoying the hot weatler lo0l ;),neutral
 dude i read that wrong! Haha well good good. Thanks.  but now I agree.,positive
Njoying sunday  plce and learning abt more in joomla,positive
 Hey  Did you have a good weekend buddy?,neutral
"I bought the pro version and like it so far. For now what I'm really missing is the ability to change days from the widget itself, with the left and right arrows, and not only from inside the app. Why wouldn't you enable the left and right arrows to change day as default? Having to go into the app to review past or coming days defeats the purpose of the widget, and forces you to use something else other than the widget itself. Other than that, the app seems to be very practical. If the ability to swipe from one day to the next day or to the last day from the widget gets implemented, it would be a 5 star app for me. Thanks.",positive
  Darnit.  See what happens when I avoid teh interwebs for work.,neutral
Tried to do an Audioboo recording but it` distorted due to the high volume  #OBS,negative
 oh you are too kind,positive
and dont tell burnsy - but no comparison between the rocky mountains and mountains in enlgland,neutral
 why isnt everyone with you?,neutral
I believe a man died in a car wreck today just right down the road.  It happened at 12 and at 2 he was still in the car.,negative
Yeah. It`s sad.,negative
" nothing much, juss really bored! hbu?",negative
I would love to sleep with pete Lmfao   jk,positive
what do u do when ur dads losing it mentaly and dosent remeber you,neutral
"I have to go clothes shopping tomorrow  I hate it, but I have a serious 'clothes falling apart' situation here.",negative
  I`m starting to feel depressed with this hurricane talk... I`m on the front lines down here!,negative
 Wish you were doing one in San Francisco!,neutral
I soo wanna eat McDonalds Fries,neutral
 that and being so careless with her vocals.,negative
 learn learn!... we can learn together!,positive
Getting all annoyed cos this weekend`s going to be hot. I`m bloody working,negative
The app suddenly stops working on my phone,negative
Shared Kim Hï¿½ltermand - Portfolio: Shared by Kaare Finally a dane  IÂ´ve got the honor to do the amazing.. http://tinyurl.com/coypsl,positive
 whats up rick??,neutral
Apps that cost should be required to disclose how much these cost up front so people can decide if they even want to download it. We shouldn't have to hunt for the cost.,negative
" There`s very few film/TV jobs, especially in WMids. And I can`t afford to move away yet!  Sorry, I missed you on 107.3!",negative
Ha ha 1 point for the men,neutral
feels great after solving a minor but long term problem with 3ds max just now!  Maybe I should try animating the avatar after all? xD,positive
Found out that a schoolmate died of an heart attack this morning. He was barely 35  will miss u bally!,negative
"#web20 .#prologue - Modern Liberalism, Misconstrued (2nd 1/2 of Bible  -- 'Christ -- without the Crucifiction'  Abstraction w/o `Skin`",negative
hi  thanks for the follow  good luck with your friend? ha,positive
" i don`t know why but, i can only find miss matched socks during winter. i mean, where do they all go?",neutral
 I`m good! thx.  and how are u? what are u doing?,positive
" haha  I love Dnt Regret It Now with Tyga <3 But just randomly, DeLeon sings on Tifanny Blews! Haha like one line.. XD",positive
Complicated with a dream,negative
" Sigh. It is a sad, lonely profession.",negative
is at the beach watching Xmen Origins and drinking orange juice with no pulp,neutral
http://twitpic.com/4wehl - graduation pic,neutral
ohh **** i just realized she still not talking to me  it b like dat some times..,negative
"Useful as a to-do list. Sets a real annoying ""plan your day"" popup reminder every morning. How you disable it is non obvious. Uninstalled.",negative
 How about SUSE?,neutral
"ooh_Bell whatchu goin as? Monsterpalooza`s this weekend for us.  on the no Ink, i won`t be a stressed contestant this year! Miss U X0",neutral
i need new running shoes!! my feet are completely torn up,negative
heyyy where`d my tweet go?  *shouts to  bc her lists are always amazing!,positive
 you cooould say that,neutral
I wanna go to the extra show really bad,negative
" doing pretty well, up and wide awake",positive
" EH! u dont like retro? tisk tisk, what u been upto? ...apart from waxing ur 'mustache' lol",neutral
" Awwww...thanks!! ;) Unfortunately, everything closes at 4pm in Sweden on a friday. Presentation is 9am Monday.",neutral
Ahhhhhhhhh man blew up my amp!!!!! no more shredding,negative
Oh good. I get to be the gooseberry all night now that katy isn`t coming,positive
"later I went up to monroe and worked out with friends - TRX, ropes and KBs!!   30sec on/30 off..rope swings & c&ps, windmills, wve aquats",neutral
 **** how you not gonna follow me son?,negative
" yippee, darling girls. Love you sooooo much  and so thrilled you found each other!",positive
Great app. Synks well with all my calendars.,positive
_carter Your video is set to private..,neutral
 lol were always friends  i havent got hers yet .. and im busy next weekend  dunno when im getting yours and hers,neutral
Best productivity app. Very intuitive to use and a must have for power users,positive
 Ur welcome,positive
" awe! i miss him so much. they`re on 'vacation'. which has lasted for like, six months. and i miss you!",negative
i hate my life big time its sooo poop gode i ould cry,neutral
"(+)Pros: it's fun, LOTS of customisation, ALL basic functionality are free, inclined to habit generation than everyday to do list. (-)Cons: first time setup are quite challenging; literally create your own system. Icons & themes are limited (minor inconvenience). I was using LifeRPG (which seems abandoned now) so it helps with the learning curve. I see devs made lots improvement here. Recommended!",positive
